Class	Order	sampling
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	PF
Insecta	Coleoptera	DN
Insecta	Coleoptera	DN
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera	Frog
Insecta	Coleoptera 	PF
Insecta	Coleoptera 	PF
Insecta	Coleoptera 	PF
Insecta	Coleoptera 	PF
Insecta	Coleoptera 	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	PF
Insecta	Collembola	DN
Insecta	Collembola	DN
Insecta	Collembola	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	PF
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	DN
Insecta	Diptera	Frog
Insecta	Diptera	Frog
Insecta	Diptera	Frog
Insecta	Diptera	Frog
Insecta	Diptera	Frog
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	PF
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	DN
Insecta	Hemiptera	Frog
Insecta	Hemiptera	Frog
Insecta	Hemiptera	Frog
Insecta	Hemiptera	Frog
Insecta	Hemiptera	Frog
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	PF
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Hymenoptera	Frog
Insecta	Lepidoptera	PF
Insecta	Lepidoptera	Frog
Insecta	Lepidoptera	Frog
Insecta	Lepidoptera	Frog
Insecta	Odonata	Frog
Insecta	Odonata	DN
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Odonata	Frog
Insecta	Orthoptera	PF
Insecta	Unknown	PF
Insecta	Unknown	PF
Insecta	Unknown	DN
Insecta	Unknown	Frog
Insecta	Unknown	Frog
Insecta	Unknown	Frog
Insecta	Unknown	Frog
Insecta	Unknown	Frog
Insecta 	Diptera	Frog
Insecta 	Unknown	Frog
Malacosraca	Amphipoda	DN
Malacosraca	Amphipoda	DN
Malacosraca	Amphipoda	DN
Malacosraca	Amphipoda	DN
Malacostraca	Isopoda	PF
Malacostraca	Isopoda	PF
Malacostraca	Isopoda	PF
Malacostraca	Isopoda	PF
Mollusca	Gastropoda	Frog
Mollusca	Gastropoda	Frog
Mollusca	Gastropoda	Frog
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriaopoda	Diplopoda	PF
Myriapoda	Chilopoda	PF
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Chilopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Myriapoda	Diplopoda	Frog
Nematoda	Nematoda	Frog
