"Record Number","Scientific Name","Observation Date","Verified Date","Specimen Type","Organism Type","Status","Region(s)","Lat/Long","Longitude","Precision","Location Notes","Observation Notes","Submitter","Data Source","Partner Project","Updated Date"
"506526","Hypena scabra","06/27/2010","04/20/2011","Photograph","moth","Resident","Cocke CountyTennesseeUnited States","36.086390055603","-83.062326908112","point record","","","Moth-er Jean (159)","","","04/20/2011 13:27:22"
"506560","Hypena scabra","05/28/2010","05/17/2011","Photograph","moth","Resident","Cocke CountyTennesseeUnited States","36.086563461258","-83.062198162079","point record","","","Moth-er Jean (159)","","","05/17/2011 21:17:39"
"506876","Hypena scabra","08/21/2010","05/23/2011","Photograph","moth","Resident","Gibson CountyTennesseeUnited States","35.878916724946","-88.904808461666","point record","","","Ken Childs (70)","","","05/23/2011 19:53:52"
"507562","Hypena scabra","01/28/2011","01/28/2011","Photograph","moth","Resident","Aiken CountySouth CarolinaUnited States","33.512845","-81.97369","point record","","","Lois Stacey (89)","","","01/28/2011 21:07:38"
"507675","Hypena scabra","08/28/2010","01/30/2011","Photograph","moth","Resident","Aiken CountySouth CarolinaUnited States","33.512845","-81.97369","point record","","","Lois Stacey (89)","","","01/30/2011 21:12:32"
"510401","Hypena scabra","01/22/2010","12/31/2010","Photograph","moth","Resident","United StatesKentuckyMenifee County","37.91288","-83.62428","point record","Joe Harmon Rd. near Frenchburg","","rita s.adkins (870)","Rita S. Adkins","","03/16/2011 13:56:31"
"513829","Hypena scabra","07/07/2010","04/14/2011","Photograph","moth","Resident","Otsego CountyNew YorkUnited States","42.494172116823","-75.242078304291","point record",".3 miles east of Maple Grove, NY","","lisagorn (523)","","","04/14/2011 06:40:01"
"513919","Hypena scabra","08/06/2010","12/31/2010","Photograph","moth","Unknown","Grant CountyWest VirginiaUnited States","39.26","-79.13","point record","Scherr","","curtis.lehman (46)","Curt Lehman","","02/19/2011 09:25:17"
"514906","Hypena scabra","08/17/2010","12/31/2010","Photograph","moth","Unknown","United StatesMissouriCrawford County","37.8","-91.43","point record","U of MO, Wurdack farm","","kent (69)","Kent Fothergill","","03/19/2011 11:02:51"
"514990","Hypena scabra","09/22/2010","12/31/2010","Photograph","moth","Unknown","Lincoln CountyMissouriUnited States","39","-91.17","point record","Hawk Point, 2 mi. N & 3 mi. W of","","legacy.reporter (53)","Pat Garner","","02/19/2011 10:30:03"
"518373","Hypena scabra","10/11/2010","03/17/2011","Photograph","moth","Resident","Worcester CountyMassachusettsUnited States","42.567717","-72.2189515","point record","","mercury vapor light","dhsmall (185)","","","03/17/2011 09:11:19"
"520305","Hypena scabra","03/16/2011","12/25/2017","Photograph","moth","Resident","Ouachita ParishUnited StatesLouisiana","32.5136513","-92.250986500003","point record","","","richhj@ymail.com (918)","","","12/25/2017 12:36:38"
"520338","Hypena scabra","03/19/2011","05/28/2011","Photograph","moth","Resident","Shelby CountyTennesseeUnited States","35.041434061824","-90.003926753994","point record","moved with pencil, on building","","kent (69)","","","05/28/2011 11:23:08"
"521107","Hypena scabra","08/08/2010","12/31/2010","Photograph","moth","Unknown","Washington CountyPennsylvaniaUnited States","40.1367719","-80.1875065","county record","Buck Run","","legacy.reporter (53)","Chuck Tague","","03/22/2011 21:03:29"
"521444","Hypena scabra","08/08/2010","12/31/2010","Photograph","moth","Unknown","Washington CountyPennsylvaniaUnited States","40.1367719","-80.1875065","county record","Buck Run","","legacy.reporter (53)","Chuck Tague","","03/22/2011 21:04:44"
"521515","Hypena scabra","08/24/2010","12/31/2010","Photograph","moth","Unknown","Venango CountyPennsylvaniaUnited States","41.3896611","-79.8296743","county record","Jackson Twp.","","legacy.reporter (53)","Nancy Baker","","03/22/2011 21:04:55"
"521957","Hypena scabra","08/24/2010","12/31/2010","Photograph","moth","Unknown","Venango CountyPennsylvaniaUnited States","41.3896611","-79.8296743","county record","Jackson Twp.","","legacy.reporter (53)","Nancy Baker","","03/22/2011 21:06:16"
"522469","Hypena scabra","09/22/2010","12/31/2010","Photograph","moth","Unknown","Luzerne CountyPennsylvaniaUnited States","41.31","-76.07","point record","Lehman Twp.","","legacy.reporter (53)","John Corbett","","03/22/2011 21:08:05"
"522704","Hypena scabra","09/22/2010","12/31/2010","Photograph","moth","Unknown","Luzerne CountyPennsylvaniaUnited States","41.31","-76.07","point record","Lehman Twp.","","legacy.reporter (53)","John Corbett","","03/22/2011 21:09:01"
"523739","Hypena scabra","08/07/2010","12/31/2010","Specimen","moth","Unknown","Wood CountyWest VirginiaUnited States","39.26396","-81.38116","point record","Dalison, Allerman Road","","legacy.reporter (53)","Cheryl Jennings","","03/24/2011 15:00:16"
"525184","Hypena scabra","10/01/2010","04/05/2011","Photograph","moth","Resident","Buncombe CountyNorth CarolinaUnited States","35.618191","-82.583004","point record","","Observed at porch light","vinstanton (950)","","","04/05/2011 20:59:21"
"525714","Hypena scabra","04/05/2011","01/14/2012","Photograph","moth","Resident","Caddo ParishLouisianaUnited States","32.448189671167","-93.704162836076","point record","Americana Dr., Shreveport, LA","Seen during the day.  About 7/8 inches long.","Jeff Trahan (256)","","","01/14/2012 14:56:28"
"526005","Hypena scabra","04/10/2011","05/23/2011","Photograph","moth","Resident","Richmond CountyGeorgiaUnited States","33.385227930879","-81.964101791382","point record","Phinizy Swamp Nature Park campus","","Lois Stacey (89)","","","05/23/2011 14:33:43"
"527875","Hypena scabra","03/13/2011","04/23/2011","Photograph","moth","Resident","Hardin CountyKentuckyUnited States","37.8123267","-85.7500151","point record","","Wingspan 34 mm","rdhealy1951@aol.com (177)","","","04/23/2011 21:43:58"
"532208","Hypena scabra","10/24/2010","05/15/2011","Photograph","moth","Resident","Lehigh CountyPennsylvaniaUnited States","40.486277244338","-75.441717803478","point record","","","curtis.lehman (46)","","","05/15/2011 19:42:58"
"532694","Hypena scabra","12/30/2010","05/16/2011","Photograph","moth","Resident","United StatesPennsylvaniaLehigh County","40.570094732969","-75.701731145382","point record","Rt. 863, 1 mi South of I78","Indoor December observation - presumably overwintering in building.","menasian (172)","","","05/20/2017 16:52:26"
"533357","Hypena scabra","05/19/2011","05/20/2011","Photograph","moth","Resident","Northampton CountyPennsylvaniaUnited States","40.8248209","-75.2823733","point record","","","Stephen Kloiber (810)","","","05/20/2011 13:00:52"
"534665","Hypena scabra","05/25/2011","06/11/2011","Photograph","moth","Resident","Berrien CountyMichiganUnited States","41.911699013624","-86.587307453156","point record","","","James Fox (628)","","","06/11/2011 21:58:07"
"537624","Hypena scabra","06/07/2011","06/08/2011","Photograph","moth","Resident","Susquehanna CountyPennsylvaniaUnited States","41.761256794264","-75.897964239121","point record","Dimock Twp.","","curtis.lehman (46)","","","06/08/2011 17:50:42"
"537889","Hypena scabra","05/28/2011","06/14/2011","Photograph","moth","Resident","McDowell CountyWest VirginiaUnited States","37.4127031","-81.8770671","point record","","","Cheryl Jennings (138)","","","06/14/2011 19:50:50"
"537966","Hypena scabra","06/09/2011","06/11/2011","Photograph","moth","Resident","Mifflin CountyPennsylvaniaUnited States","40.7238939","-77.4744994","point record","","","curtis.lehman (46)","","","06/11/2011 09:30:37"
"538555","Hypena scabra","06/12/2011","06/13/2011","Photograph","moth","Resident","Elk CountyPennsylvaniaUnited States","41.447744719537","-79.058818817139","point record","Found on the Elk Co. side of Buzzard Swamp.","","curtis.lehman (46)","","","06/13/2011 17:23:14"
"541340","Hypena scabra","06/05/2011","06/27/2011","Photograph","moth","Resident","Monroe CountyPennsylvaniaUnited States","40.899727928599","-75.393161773682","point record","","","Stephen Kloiber (810)","","","06/27/2011 04:09:57"
"542049","Hypena scabra","05/28/2011","06/29/2011","Photograph","moth","Resident","McDowell CountyWest VirginiaUnited States","37.4127031","-81.8770671","point record","","","Cheryl Jennings (138)","","","06/29/2011 20:17:51"
"542109","Hypena scabra","06/29/2011","06/29/2011","Photograph","moth","Resident","Centre CountyPennsylvaniaUnited States","40.7756184","-77.7924992","point record","","","curtis.lehman (46)","","","06/29/2011 19:54:27"
"542111","Hypena scabra","06/25/2011","06/29/2011","Photograph","moth","Resident","Clearfield CountyPennsylvaniaUnited States","41.20849703052","-78.503333330154","point record","","","curtis.lehman (46)","","","06/29/2011 20:08:58"
"542765","Hypena scabra","06/26/2011","02/01/2012","Photograph","moth","Resident","Hancock CountyTennesseeUnited States","36.43582803668","-83.247399330139","point record","Elrod Falls","","David Trently (107)","","","02/01/2012 21:26:19"
"546707","Hypena scabra","07/19/2011","07/23/2011","Photograph","moth","Resident","Monroe CountyPennsylvaniaUnited States","40.8351029","-75.4474194","point record","","","corey.husic (4400)","","","07/23/2011 05:32:23"
"548312","Hypena scabra","07/27/2011","07/27/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record","","sunny and warm 87.5 °F","Michux (2228)","","","07/27/2011 20:46:31"
"548357","Hypena scabra","07/27/2011","07/28/2011","Photograph","moth","Resident","Henry CountyIndianaUnited States","39.847191406108","-85.235315859318","point record","","","monstermoose (4626)","","","07/28/2011 21:17:34"
"548742","Hypena scabra","07/28/2011","07/29/2011","Photograph","moth","Resident","Monroe CountyPennsylvaniaUnited States","40.8351029","-75.4474194","point record","","","corey.husic (4400)","","","07/29/2011 19:18:55"
"548894","Hypena scabra","07/30/2011","08/16/2011","Photograph","moth","Resident","DelawareUnited StatesKent County","39.2733039","-75.593953","point record","","3:06 PM EDT on July 30, 2011,Temperature: 92.2 °F,Heat Index: 96.9 °F, Humidity: 46%","Michux (2228)","","","08/16/2011 22:04:24"
"551516","Hypena scabra","08/12/2011","08/19/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record",""," Nice day: Temperature 84.2 °F, Humidity 35%","Michux (2228)","","","08/19/2011 20:48:29"
"593576","Hypena scabra","08/17/2011","08/17/2011","Photograph","moth","Resident","Monroe CountyIllinoisUnited States","38.304478043478","-90.252213478088","point record","","","jawinget (3664)","","","08/17/2011 21:23:23"
"608225","Hypena scabra","08/21/2011","08/21/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record","","After heavy thunderstorms and rain, 84.2 °F","Michux (2228)","","","08/21/2011 20:38:24"
"608232","Hypena scabra","08/20/2011","06/17/2012","Photograph","moth","Resident","United StatesNew YorkQueens County","40.6181246","-73.8286733","point record","along the way to East Pond of Jamaica Bay Wildlife Refuge. Queens, NY. ","weather: the night before having rain.  
It stayed on the leaf for a couple of minutes before it could not bear my disturbance.","Siu Man Ng (5822)","","","06/17/2012 18:25:05"
"609332","Hypena scabra","08/22/2011","03/17/2012","Photograph","moth","Unknown","United StatesWyomingNiobrara County","43.259881784049","-104.54502403736","point record","on a private ranch north of town","came to light","Dwaine Wagoner (90)","","","03/17/2012 16:55:32"
"609354","Hypena scabra","08/27/2011","08/27/2011","Photograph","moth","Resident","Monroe CountyIllinoisUnited States","38.304482253086","-90.252149105075","point record","","","jawinget (3664)","","","08/27/2011 20:21:38"
"609566","Hypena scabra","08/28/2011","08/28/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record","","After Hurricane Irene, Temperature 77.9 °F, Speed / Dir 1.0 mph from West, Wind Gust 8.0 mph","Michux (2228)","","","08/28/2011 15:06:44"
"610819","Hypena scabra","08/29/2011","08/29/2011","Photograph","moth","Resident","Santa Rosa CountyFloridaUnited States","30.390743","-87.081525","point record","","","Pete Williams (1034)","","","08/29/2011 17:19:12"
"613202","Hypena scabra","07/23/2011","08/30/2011","Photograph","moth","Resident","Medina CountyOhioUnited States","41.045018","-81.78289","point record","","","Amanda Fulton (579)","","","08/30/2011 07:20:24"
"613378","Hypena scabra","08/30/2011","08/31/2011","Photograph","moth","Resident","Henry CountyIndianaUnited States","39.847121390478","-85.235313177109","point record","","","monstermoose (4626)","","","08/31/2011 21:11:04"
"613554","Hypena scabra","08/30/2011","01/16/2013","Photograph","moth","Resident","United StatesTennesseeShelby County","35.372447287497","-89.997704029086","point record","Hardwood bottomland forest near the MS river.","This moth has been in my garage every night - to ""roost"" - in good numbers. However, I find very many of their wings on the floor the next morning. What species is this; they seem to be so very common around these hardwood bottomlands of SW TN forests.","elinpierce (5690)","","","01/16/2013 21:23:53"
"614236","Hypena scabra","08/11/2011","09/02/2011","Photograph","moth","Resident","Pendleton CountyWest VirginiaUnited States","38.712705959625","-79.415445327759","point record","","","curtis.lehman (46)","","","09/02/2011 20:07:51"
"614380","Hypena scabra","09/03/2011","09/04/2011","Photograph","moth","Resident","Howard CountyMarylandUnited States","39.206452813786","-76.841382980347","point record","","Observed around 10 PM on a warm and humid evening. ","Marie Daloia (6383)","","","09/04/2011 19:46:55"
"614504","Hypena scabra","09/05/2011","09/05/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record","","Sunny, warm and muggy 81.8 °F","Michux (2228)","","","09/05/2011 20:17:33"
"615302","Hypena scabra","09/07/2011","10/29/2011","Photograph","moth","Resident","Williamson CountyTennesseeUnited States","35.840551228571","-86.871954202652","point record","","Originally resting on small picea tree.","KarenL (5086)","","","10/29/2011 18:56:17"
"615756","Hypena scabra","09/09/2011","09/09/2011","Photograph","moth","Resident","Kent CountyDelawareUnited States","39.2733039","-75.593953","point record","","","Michux (2228)","","","09/09/2011 21:05:59"
"616464","Hypena scabra","09/11/2011","09/12/2011","Photograph","moth","Resident","Rusk CountyTexasUnited States","32.203505345424","-94.735450744626","point record","","This moth is quite common around our porch light.","JasonPike1980 (6529)","","","09/12/2011 18:07:54"
"618056","Hypena scabra","09/17/2011","09/21/2011","Photograph","moth","Resident","Henry CountyIndianaUnited States","39.847104916203","-85.235345363617","point record","","","monstermoose (4626)","","","09/21/2011 09:34:04"
"619343","Hypena scabra","09/29/2011","10/19/2011","Photograph","moth","Resident","Williamson CountyTennesseeUnited States","35.840377281845","-86.86986207962","point record","","","KarenL (5086)","","","10/19/2011 18:11:41"
"671328","Hypena scabra","09/20/2011","10/04/2011","Photograph","moth","Resident","Christian CountyIllinoisUnited States","39.608463442706","-89.496538639068","point record","","A STSTE PARK WITH A LAKE SURROUNDED WITH FOREST AND PRAIRIE.","jmorth (7390)","","","10/04/2011 20:04:18"
"688849","Hypena scabra","10/23/2011","11/14/2011","Photograph","moth","Resident","Albemarle CountyVirginiaUnited States","37.914917068878","-78.757156133651","point record","","","taylorcreek (1688)","","","11/14/2011 20:43:06"
"689824","Hypena scabra","10/30/2011","11/01/2011","Photograph","moth","Resident","Santa Rosa CountyFloridaUnited States","30.390743","-87.081525","point record","","","Pete Williams (1034)","","","11/01/2011 14:44:52"
"691767","Hypena scabra","11/19/2011","11/21/2011","Photograph","moth","Resident","Dare CountyNorth CarolinaUnited States","36.112435632337","-75.747159719467","point record","","","curtis.lehman (46)","","","11/21/2011 13:44:21"
"695634","Hypena scabra","01/01/2012","01/17/2012","Photograph","moth","Resident","Monroe CountyGeorgiaUnited States","32.9739415","-83.9543134","point record","","Submitted for early date for this species in Monroe County, GA","Terry W. Johnson (252)","","","01/17/2012 06:01:25"
"695747","Hypena scabra","01/07/2012","01/11/2012","Photograph","moth","Resident","Catawba CountyNorth CarolinaUnited States","35.688823","-81.190333","point record","My home","","Lori Owenby (271)","","","01/11/2012 20:34:16"
"698435","Hypena scabra","02/23/2012","02/24/2012","Photograph","moth","Resident","Warren CountyUnited StatesVirginia","38.951518289205","-78.143987059593","point record","","Attracted to a light.","James Fox (628)","","","02/24/2012 13:39:48"
"700175","Hypena scabra","09/27/2011","04/17/2012","Photograph","moth","Unknown","United StatesWyomingCampbell County","43.68176174726","-105.96971154213","point record","I moved the point manually by using the pencil.","Moth was inactive and did not move when touched.","roadrunner (5106)","","","04/17/2012 12:10:37"
"701031","Hypena scabra","03/22/2012","04/24/2012","Photograph","moth","Resident","United StatesSumter CountyGeorgia","32.067296923396","-84.224174022675","point record","Americus Garden Inn Bed & Breakfast","overcast, temperature in the 70s, very well camouflaged on the ground","Americus Garden Inn (11354)","","","04/24/2012 12:55:39"
"701211","Hypena scabra","01/31/2012","03/26/2012","Photograph","moth","Resident","United StatesKentuckyHardin County","37.8123265","-85.7500144","point record","","Wingspan 28 mm","rdhealy1951@aol.com (177)","","","03/26/2012 19:44:28"
"702406","Hypena scabra","03/28/2012","03/28/2012","Photograph","moth","Resident","United StatesWest VirginiaCabell County","38.5882316","-82.2610457","point record","Coordinates are not exact.","","curtis.lehman (46)","","","03/28/2012 13:28:17"
"706450","Hypena scabra","04/30/2012","05/01/2012","Photograph","moth","Resident","United StatesIndianaHenry County","39.847129627615","-85.235291719436","point record","","","monstermoose (4626)","","","05/01/2012 21:42:14"
"706880","Hypena scabra","05/05/2012","05/07/2012","Photograph","moth","Resident","United StatesIndianaHenry County","39.847113153341","-85.235280990601","point record","","","monstermoose (4626)","","","05/07/2012 13:01:20"
"706941","Hypena scabra","05/06/2012","05/06/2012","Photograph","moth","Resident","United StatesPennsylvaniaFayette County","40.073182577722","-79.727654457092","point record","Youghiogheny River Trail","","curtis.lehman (46)","","","05/06/2012 19:47:47"
"706966","Hypena scabra","05/06/2012","05/09/2012","Photograph","moth","Resident","United StatesIndianaHenry County","39.847096679063","-85.235291719436","point record","","","monstermoose (4626)","","","05/09/2012 21:23:21"
"709327","Hypena scabra","05/13/2012","05/14/2012","Photograph","moth","Resident","United StatesPennsylvaniaLackawanna County","41.46529","-75.596542","point record","","attracted to porch light","David Trently (107)","","","05/14/2012 14:34:15"
"709772","Hypena scabra","05/18/2012","05/22/2012","Photograph","moth","Resident","United StatesTennesseeWilliamson County","35.840525136586","-86.871707439422","point record","","","KarenL (5086)","","","05/22/2012 20:46:05"
"709871","Hypena scabra","05/18/2012","05/19/2012","Photograph","moth","Resident","United StatesIndianaHenry County","39.847121390478","-85.235302448273","point record","","","monstermoose (4626)","","","05/19/2012 22:21:18"
"710060","Hypena scabra","06/05/2011","06/24/2012","Photograph","moth","Resident","United StatesNew JerseyOcean County","39.709018998743","-74.137480258941","point record","Restaurant near hotel.","Found under a bench at a restaurant at Long Beach, NJ.","Oldsalt09 (13877)","","","06/24/2012 14:27:41"
"713721","Hypena scabra","05/20/2012","05/25/2012","Photograph","moth","Resident","United StatesMassachusettsFranklin County","42.4321795","-72.5437339","point record","","","dendroica5 (4767)","","","05/25/2012 21:13:15"
"713852","Hypena scabra","05/05/2012","05/27/2012","Photograph","moth","Resident","United StatesPennsylvaniaMonroe County","40.8356379","-75.4477029","point record","","","corey.husic (4400)","","","05/27/2012 04:36:00"
"713916","Hypena scabra","05/27/2012","05/27/2012","Photograph","moth","Resident","United StatesIndianaElkhart County","41.558606","-85.828779","point record","","","julmast (1366)","","","05/27/2012 21:25:57"
"714651","Hypena scabra","01/08/2012","05/31/2012","Photograph","moth","Resident","United StatesPennsylvaniaDelaware County","39.886343663103","-75.33585369587","point record","","Found moth walking and trying to fly inside a closed house-porch warmed by sun on warm winter day.","Little Crum Creek (14650)","","","05/31/2012 20:30:17"
"716248","Hypena scabra","06/09/2012","06/22/2012","Photograph","moth","Resident","United StatesTennesseeDecatur County","35.685640118936","-88.141937255859","point record","Intersection of Bible Hill Rd. and Everett Jones Ln.","","bjones7777 (142)","","","06/22/2012 16:44:01"
"716254","Hypena scabra","06/09/2012","01/08/2013","Photograph","moth","Resident","United StatesTennesseeDecatur County","35.685605261809","-88.141937255859","point record","Intersection of Bible Hill Rd. and Everett Jones Ln.","","bjones7777 (142)","","","01/08/2013 18:49:00"
"718491","Hypena scabra","06/16/2012","06/21/2012","Photograph","moth","Resident","United StatesTennesseeShelby County","35.260548315393","-90.063536167149","point record","Eagle Lake Wildlife Management Area","","bjones7777 (142)","","","06/21/2012 19:46:07"
"719165","Hypena scabra","06/21/2012","07/08/2012","Photograph","moth","Resident","United StatesMassachusettsWorcester County","42.400516570741","-71.905345916748","point record","North of Rutland, MA","Moving around grassy lawn","eal79 (14854)","","","07/08/2012 19:30:32"
"722155","Hypena scabra","06/28/2012","06/29/2012","Photograph","moth","Resident","United StatesNew JerseyHunterdon County","40.407883","-74.9782238","point record","","","Chip Krilowicz (2632)","","","06/29/2012 13:17:50"
"722547","Hypena scabra","07/01/2012","07/07/2012","Photograph","moth","Resident","United StatesMassachusettsHampshire County","42.368829","-72.673659","point record","","This one has a snout out the front--and holds wings close together but flat like a dart.  Attracted to porch light","edenny (5128)","","","07/07/2012 21:59:20"
"723791","Hypena scabra","07/01/2012","07/06/2012","Photograph","moth","Resident","United StatesPennsylvaniaMontgomery County","40.009383993602","-75.302446782589","point record","yard on Haverford College campus","attracted to lights","Sheryl Johnson (6080)","","","07/06/2012 04:30:27"
"723831","Hypena scabra","07/06/2012","07/07/2012","Photograph","moth","Resident","United StatesNew JerseyCamden County","39.926813","-75.0246312","point record","","","Chip Krilowicz (2632)","","","07/07/2012 10:37:34"
"724047","Hypena scabra","07/06/2012","07/07/2012","Photograph","moth","Resident","United StatesMassachusettsHampden County","42.067893","-72.522184","point record","","Fairly active moth attracted to porch light.","schmev24 (13376)","","","07/07/2012 22:05:44"
"724102","Hypena scabra","06/24/2010","07/08/2012","Photograph","moth","Resident","United StatesMissouriBoone County","38.946222002772","-92.446555495261","point record","38.94637, -92.44652","at blacklight","lfelliott (15091)","","","07/08/2012 20:06:59"
"724212","Hypena scabra","06/11/2012","07/14/2012","Photograph","moth","Resident","United StatesNew JerseyCape May County","39.040661295359","-74.879883527756","point record","","attracted to black light","pomarinejaeger (15666)","","","07/14/2012 09:29:31"
"726456","Hypena scabra","07/11/2012","07/23/2012","Photograph","moth","Resident","United StatesNew JerseySalem County","39.613755354866","-75.525341033935","point record","Tree covered path.","Only one seen.","Chip Krilowicz (2632)","","","07/23/2012 20:42:55"
"726818","Hypena scabra","11/28/2011","07/23/2012","Photograph","moth","Resident","United StatesNew JerseyGloucester County","39.875360722952","-75.137729644775","point record","","","Chip Krilowicz (2632)","","","07/23/2012 21:05:37"
"726897","Hypena scabra","07/07/2012","07/14/2012","Photograph","moth","Resident","United StatesPennsylvaniaMercer County","41.300439223326","-80.173265933991","point record","","","curtis.lehman (46)","","","07/14/2012 19:20:19"
"728169","Hypena scabra","07/23/2012","07/23/2012","Photograph","moth","Resident","United StatesMassachusettsFranklin County","42.4779277","-72.4414255","point record","","","deweidemann (12726)","","","07/23/2012 20:56:20"
"728293","Hypena scabra","07/23/2012","11/18/2012","Photograph","moth","Resident","United StatesMassachusettsHampshire County","42.368829","-72.673659","point record","","Attracted to porch light, warm humid evening.  About 1 inch tip to tail, dark grayish brown moth with interesting raised dots and lines on wings","edenny (5128)","","","11/18/2012 08:48:52"
"728584","Hypena scabra","07/07/2012","08/20/2012","Photograph","moth","Resident","United StatesMassachusettsFranklin County","42.4321923","-72.543738","point record","","","dendroica5 (4767)","","","08/20/2012 22:00:44"
"728614","Hypena scabra","07/25/2012","07/26/2012","Photograph","moth","Resident","United StatesVirginiaTazewell County","37.139288362613","-81.5888017416","point record","4 miles WNW of North Tazewell, VA","","K Stilwell (127)","","","07/26/2012 12:05:52"
"728617","Hypena scabra","07/25/2012","09/17/2012","Photograph","moth","Resident","United StatesVirginiaTazewell County","37.139438034846","-81.588799059391","point record","4 miles WNW of North Tazewell, VA","","K Stilwell (127)","","","09/17/2012 21:04:24"
"728695","Hypena scabra","07/19/2012","07/27/2012","Photograph","moth","Resident","United StatesPennsylvaniaLuzerne County","41.336478215515","-75.815802812576","point record","creek. near Susquehanna River. Urban. forest. coal mining/urbanization history. golf course","Attracted to light at night; thunderstorms.","AngelaCoco (15461)","","","07/27/2012 12:24:32"
"728714","Hypena scabra","07/25/2012","09/10/2012","Photograph","moth","Resident","United StatesNew JerseyCamden County","39.8915022","-75.0376707","point record","","","Chip Krilowicz (2632)","","","09/10/2012 14:14:32"
"728960","Hypena scabra","07/27/2012","08/22/2012","Photograph","moth","Resident","United StatesWisconsinDunn County","44.861914856752","-91.941608190532","point record","","","aarongunnar (3527)","","National Moth Week","08/22/2012 09:03:17"
"729180","Hypena scabra","07/27/2012","07/29/2012","Photograph","moth","Resident","United StatesPennsylvaniaChester County","40.023681181961","-75.421636104584","point record","Brandywine Conservancy Property","attracted to lights","Sheryl Johnson (6080)","","","07/29/2012 16:03:38"
"729522","Hypena scabra","07/30/2012","07/31/2012","Photograph","moth","Resident","United StatesMassachusettsHampshire County","42.368829","-72.673659","point record","","Pretty, brown with tan, red, and gray markings, about 1 inch across wingtips, triangular shape.  Attracted to porch light on warm, wet evening","edenny (5128)","","","07/31/2012 22:17:37"
"730112","Hypena scabra","07/29/2012","09/18/2012","Photograph","moth","Resident","United StatesNew JerseyCamden County","39.868509902583","-74.994564056397","point record","","","Chip Krilowicz (2632)","","","09/18/2012 13:22:35"
"730351","Hypena scabra","07/07/2012","08/15/2012","Photograph","moth","Resident","United StatesNorth CarolinaAlexander County","35.9623711","-81.1208343","point record","Rocky Face Recreational Park - attracted to mercury vapor light","","Lori Owenby (271)","","","08/15/2012 11:08:50"
"730594","Hypena scabra","08/02/2012","08/08/2012","Photograph","moth","Resident","United StatesOhioAshland County","40.773424377354","-82.26674079895","point record","","","Bowbender (16396)","","","08/08/2012 09:54:30"
"730646","Hypena scabra","08/02/2012","09/19/2012","Photograph","moth","Resident","United StatesNew JerseySalem County","39.682024177052","-75.390243530273","point record","","","Chip Krilowicz (2632)","","","09/19/2012 09:30:34"
